Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7,value
2020-06-06,06.06.20 00:00,81,2.5,16.1,8.2,15.7,15.7,15.6,2.1,20.699999999999967,20.699999999999974,31.89999999999997,43.49999999999996,57.39999999999997,14.303999999999995,15.471428571428577,100.0
2020-07-06,07.06.20 00:00,94,16.2,9.5,8.5,12.0,16.0,15.8,15.299999999999992,35.99999999999996,35.999999999999964,47.19999999999996,53.199999999999946,72.69999999999996,14.459999999999994,15.157142857142862,123.0
2020-06-13,13.06.20 00:00,87,12.2,3.4,2.9,16.5,17.9,17.1,11.999999999999993,43.19999999999995,63.899999999999956,63.899999999999956,75.09999999999994,75.29999999999997,14.975999999999992,14.500000000000005,130.0
2020-06-14,14.06.20 00:00,96,2.2,1.7,1.2,13.9,17.2,17.0,1.9000000000000001,29.79999999999996,65.79999999999995,65.79999999999995,76.99999999999994,76.99999999999997,14.815999999999992,14.771428571428578,136.0
2020-06-15,15.06.20 00:00,89,1.6,2.5,1.7,15.5,16.8,16.6,0.0,27.19999999999996,65.79999999999995,65.79999999999995,76.99999999999994,76.99999999999997,14.739999999999993,15.028571428571436,139.0
2020-06-16,16.06.20 00:00,83,0.0,3.1,2.2,17.1,17.1,16.7,0.0,23.69999999999996,65.79999999999995,65.79999999999995,76.99999999999994,76.99999999999997,14.715999999999994,15.700000000000005,136.0
2020-06-17,17.06.20 00:00,99,22.9,2.4,1.8,14.1,17.3,17.0,21.800000000000008,36.09999999999997,76.69999999999997,87.59999999999997,87.69999999999996,98.79999999999998,14.723999999999997,15.771428571428576,142.0
2020-06-18,18.06.20 00:00,88,2.0,2.6,1.9,14.3,16.8,16.6,1.7000000000000002,37.39999999999998,70.69999999999997,89.29999999999997,89.29999999999997,100.49999999999999,14.819999999999999,15.657142857142862,145.0
2020-06-19,19.06.20 00:00,95,26.6,2.1,1.6,13.3,16.9,16.7,24.799999999999997,62.199999999999974,93.39999999999998,114.09999999999997,114.09999999999997,125.29999999999998,14.811999999999998,14.95714285714286,139.0
2020-06-20,20.06.20 00:00,83,0.0,2.6,1.9,16.2,17.1,16.7,0.0,50.19999999999998,78.09999999999998,114.09999999999997,114.09999999999997,125.29999999999998,14.887999999999998,14.91428571428572,138.0
