Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7
2020-11-04,11.04.20 00:00,62,0.0,13.7,7.5,13.0,9.3,9.0,0.0,-9.992007221626409e-15,1.5000000000000027,8.4,9.200000000000001,9.300000000000008,6.988000000000004,11.72857142857143
2020-12-04,12.04.20 00:00,62,0.0,15.4,8.1,13.7,9.6,9.3,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.8,9.300000000000008,7.144000000000003,12.414285714285715
2020-04-13,13.04.20 00:00,55,0.0,17.6,8.8,15.3,10.3,9.7,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.8,9.300000000000008,7.344000000000003,13.085714285714287
2020-04-14,14.04.20 00:00,52,0.0,20.8,9.7,7.8,10.3,10.0,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.4,9.300000000000008,7.216000000000004,12.514285714285716
2020-04-15,15.04.20 00:00,56,0.0,23.6,10.5,8.6,9.4,9.5,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.4,9.200000000000008,7.316000000000003,11.971428571428572
2020-04-16,16.04.20 00:00,63,0.0,28.4,11.7,12.2,9.5,9.4,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.4,9.200000000000008,7.648000000000003,11.914285714285715
2020-04-17,17.04.20 00:00,67,0.0,33.3,13.4,14.7,10.1,9.7,0.0,-9.992007221626409e-15,2.4424906541753444e-15,8.4,8.4,8.800000000000008,8.144000000000002,12.185714285714287
2020-04-18,18.04.20 00:00,69,0.0,39.2,15.7,15.0,10.7,10.2,0.0,-9.992007221626409e-15,2.4424906541753444e-15,1.5000000000000027,8.4,8.800000000000008,8.652000000000001,12.471428571428573
2020-04-19,19.04.20 00:00,72,0.0,44.8,18.6,15.3,11.0,10.5,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,8.4,8.400000000000007,9.164000000000001,12.700000000000001
2020-04-20,20.04.20 00:00,65,0.0,52.4,22.6,14.3,11.7,10.9,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,8.4,8.400000000000007,9.672000000000002,12.557142857142859
2020-04-21,21.04.20 00:00,60,0.0,58.9,26.3,12.6,11.4,11.0,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,8.4,8.400000000000007,10.000000000000002,13.242857142857144
2020-04-22,22.04.20 00:00,52,0.0,63.7,31.2,13.6,11.1,10.8,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,8.4,8.400000000000007,10.232000000000003,13.957142857142857
2020-04-23,23.04.20 00:00,54,0.0,68.5,37.2,13.4,11.1,10.8,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,1.5000000000000027,8.400000000000007,10.584000000000001,14.12857142857143
2020-04-24,24.04.20 00:00,61,0.0,72.0,44.0,13.5,11.1,10.9,0.0,-9.992007221626409e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.4424906541753444e-15,8.400000000000007,11.068000000000001,13.957142857142857
2020-04-25,25.04.20 00:00,64,0.1,73.6,51.3,15.9,11.6,11.1,0.1,0.09999999999999001,0.10000000000000245,0.10000000000000245,0.10000000000000245,8.500000000000007,11.62,14.085714285714287
2020-04-26,26.04.20 00:00,66,1.1,75.1,59.1,14.0,12.2,11.6,1.0,1.09999999999999,1.1000000000000025,1.1000000000000025,1.1000000000000025,9.500000000000007,12.056,13.900000000000002
2020-04-27,27.04.20 00:00,73,0.1,76.4,65.3,15.3,12.5,11.9,0.0,1.09999999999999,1.1000000000000025,1.1000000000000025,1.1000000000000025,9.500000000000007,12.463999999999999,14.042857142857144
2020-04-28,28.04.20 00:00,95,21.7,77.4,69.9,12.4,12.7,12.1,20.799999999999994,21.899999999999984,21.899999999999995,21.899999999999995,21.899999999999995,23.400000000000002,12.687999999999997,14.014285714285718
2020-04-29,29.04.20 00:00,88,9.4,77.9,70.6,10.6,12.3,11.9,9.599999999999994,31.49999999999998,31.49999999999999,31.49999999999999,31.49999999999999,31.5,12.811999999999998,13.585714285714289
2020-04-30,30.04.20 00:00,95,5.7,77.6,70.1,9.7,11.9,11.8,5.199999999999999,36.699999999999974,36.69999999999999,36.69999999999999,36.69999999999999,36.7,12.844,13.05714285714286
2020-01-05,01.05.20 00:00,94,19.2,69.2,68.6,9.6,11.6,11.5,18.10000000000001,54.79999999999998,54.8,54.8,54.8,54.80000000000001,12.803999999999998,12.500000000000002
2020-02-05,02.05.20 00:00,93,13.6,4.7,59.2,10.1,11.5,11.3,11.599999999999998,66.29999999999998,66.39999999999999,66.39999999999999,66.39999999999999,66.4,12.735999999999999,11.671428571428573
2020-03-05,03.05.20 00:00,86,0.0,3.0,49.3,9.9,11.5,11.3,0.1,65.39999999999998,66.49999999999999,66.49999999999999,66.49999999999999,66.5,12.636,11.085714285714287
2020-04-05,04.05.20 00:00,83,0.5,3.1,43.2,14.4,12.1,11.7,0.5,65.89999999999998,66.99999999999999,66.99999999999999,66.99999999999999,67.0,12.707999999999997,10.957142857142859
2020-05-05,05.05.20 00:00,99,13.3,2.5,35.7,11.5,12.5,12.1,12.399999999999997,57.49999999999997,79.39999999999998,79.39999999999998,79.39999999999998,79.39999999999999,12.655999999999997,10.828571428571431
2020-06-05,06.05.20 00:00,81,1.6,1.8,17.4,10.6,12.3,12.0,1.7000000000000002,49.59999999999998,81.09999999999998,81.09999999999998,81.09999999999998,81.1,12.559999999999997,10.828571428571431
2020-07-05,07.05.20 00:00,73,0.0,3.0,3.0,11.6,11.9,11.8,0.0,44.39999999999998,81.09999999999998,81.09999999999998,81.09999999999998,81.1,12.475999999999999,11.1
2020-08-05,08.05.20 00:00,77,0.0,3.8,3.8,15.9,12.3,12.0,0.0,26.29999999999997,80.99999999999999,81.09999999999998,81.09999999999998,81.1,12.499999999999998,12.000000000000002
2020-09-05,09.05.20 00:00,71,0.1,4.7,4.7,18.6,13.3,12.6,0.0,14.69999999999997,79.99999999999999,81.09999999999998,81.09999999999998,81.1,12.931999999999999,13.214285714285719
2020-10-05,10.05.20 00:00,81,1.2,5.5,5.4,18.2,14.2,13.3,1.0999999999999999,15.69999999999997,81.09999999999998,82.19999999999997,82.19999999999997,82.19999999999999,13.315999999999997,14.400000000000004
2020-11-05,11.05.20 00:00,96,13.1,7.2,5.8,11.4,14.2,13.7,11.099999999999994,26.299999999999965,71.39999999999998,93.29999999999997,93.29999999999997,93.29999999999998,13.283999999999997,13.971428571428575
2020-12-05,12.05.20 00:00,84,1.6,3.7,5.4,6.9,12.8,12.9,1.7000000000000006,15.599999999999968,63.499999999999986,94.99999999999997,94.99999999999997,94.99999999999999,12.971999999999996,13.314285714285718
2020-05-13,13.05.20 00:00,99,6.3,3.6,3.8,8.1,12.2,12.3,5.6000000000000005,19.499999999999968,63.89999999999998,100.59999999999997,100.59999999999997,100.59999999999998,12.695999999999996,12.95714285714286
2020-05-14,14.05.20 00:00,95,5.8,2.0,1.3,8.9,12.0,12.0,5.799999999999999,25.29999999999997,51.599999999999966,106.39999999999996,106.39999999999996,106.39999999999998,12.439999999999996,12.571428571428578
2020-05-15,15.05.20 00:00,87,0.3,3.0,1.9,10.3,11.9,11.9,0.2,25.499999999999968,40.199999999999974,106.49999999999997,106.59999999999997,106.59999999999998,12.279999999999996,11.771428571428576
2020-05-16,16.05.20 00:00,81,0.0,3.9,2.5,10.8,11.7,11.7,0.0,25.499999999999968,40.09999999999997,105.49999999999997,106.59999999999997,106.59999999999998,12.207999999999995,10.65714285714286
2020-05-17,17.05.20 00:00,73,0.0,4.4,3.2,13.7,12.2,11.9,0.0,24.399999999999967,39.59999999999997,105.49999999999997,106.59999999999997,106.59999999999998,12.211999999999994,10.014285714285718
2020-05-18,18.05.20 00:00,68,0.0,5.2,3.7,15.6,12.6,12.3,0.0,13.299999999999972,27.199999999999974,84.69999999999997,106.59999999999997,106.59999999999998,12.299999999999995,10.614285714285716
2020-05-19,19.05.20 00:00,68,0.0,5.6,4.1,17.3,13.2,12.7,0.0,11.599999999999971,25.499999999999975,75.09999999999998,106.59999999999997,106.59999999999998,12.451999999999996,12.1
2020-05-20,20.05.20 00:00,65,0.0,6.4,4.4,17.9,13.8,13.3,0.0,5.999999999999971,25.499999999999975,69.89999999999998,106.49999999999997,106.59999999999998,12.531999999999996,13.5
2020-05-21,21.05.20 00:00,72,0.0,7.5,4.7,17.4,13.9,13.5,0.0,0.19999999999997176,25.499999999999975,51.79999999999997,105.49999999999997,106.59999999999998,12.667999999999996,14.714285714285714
