Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm
14.06.20 00:00,96,2.2,1.7,1.2,13.9,17.2,17
15.06.20 00:00,89,1.6,2.5,1.7,15.5,16.8,16.6
16.06.20 00:00,83,0,3.1,2.2,17.1,17.1,16.7
17.06.20 00:00,99,22.9,2.4,1.8,14.1,17.3,17
18.06.20 00:00,88,2,2.6,1.9,14.3,16.8,16.6
19.06.20 00:00,95,26.6,2.1,1.6,13.3,16.9,16.7
20.06.20 00:00,83,0,2.6,1.9,16.2,17.1,16.7
21.06.20 00:00,76,0,3.6,2.7,17.7,18,17.4
22.06.20 00:00,76,0,4.2,3.3,19.5,18.5,17.8
23.06.20 00:00,70,0,5,3.8,20.1,19,18.3
24.06.20 00:00,66,0,5.8,4.3,20.5,19.3,18.6
25.06.20 00:00,69,0,6.6,4.7,20.4,19.4,18.8
26.06.20 00:00,81,0,7.5,5,20.4,19.6,19
27.06.20 00:00,83,1,8.5,5.3,20.4,19.6,19
28.06.20 00:00,85,9.2,9.5,5.6,19.6,19.7,19.1
29.06.20 00:00,92,21.2,4.8,4.7,16.9,19.2,18.9
30.06.20 00:00,76,0,2.5,3.6,18.4,18.9,18.6
01.07.20 00:00,76,0,3.8,3.8,21.4,19.4,18.9
02.07.20 00:00,90,4,4.6,4.2,18.7,20,19.4
03.07.20 00:00,85,0.3,4.7,4.2,16.7,19.5,19.1
04.07.20 00:00,76,0,5.2,4.5,18,18.8,18.6
05.07.20 00:00,77,0,6.2,5,20.3,19.1,18.8
06.07.20 00:00,75,0,7.1,5.4,17.8,19.4,19
07.07.20 00:00,65,0,8.3,5.9,15.9,18.5,18.5
08.07.20 00:00,67,0,10.3,6.4,18.1,18.4,18.3
09.07.20 00:00,67,0,13.3,7,21.1,18.8,18.5
10.07.20 00:00,71,13.4,18.1,8.1,21.5,19.1,18.7
11.07.20 00:00,86,12.8,17,8.5,17.7,19.3,18.9
12.07.20 00:00,70,0,15.5,9,17.5,18.9,18.7
13.07.20 00:00,68,0,18.9,9.7,17.8,18.8,18.7
14.07.20 00:00,70,0,23.1,10.4,18,18.8,18.7
15.07.20 00:00,85,1.7,25.2,10.9,16.5,18.8,18.6
16.07.20 00:00,92,8.9,24.1,11.2,15.9,18.3,18.3
17.07.20 00:00,90,1.8,24.2,11.4,16.3,18.2,18.1
18.07.20 00:00,73,0,28.1,11.9,17.4,18.1,18
19.07.20 00:00,73,0,34.4,12.6,18.4,18.3,18.2
20.07.20 00:00,71,0,41.1,13.5,20.1,18.7,18.4
21.07.20 00:00,83,1,47.9,14.3,20.1,19,18.7
22.07.20 00:00,82,0,51.2,15,20.8,19.3,18.9
23.07.20 00:00,73,0,56.6,15.9,21.1,19.5,19
24.07.20 00:00,85,5.6,61.5,16.6,17.3,19.4,19.1
25.07.20 00:00,76,0,62.5,17.4,19.4,18.9,18.8
26.07.20 00:00,77,1.5,64.2,18.5,20.3,19.3,19
27.07.20 00:00,72,0,66.4,20.2,21.6,19.3,19
28.07.20 00:00,74,4.1,68,22.2,23,19.8,19.4
29.07.20 00:00,68,0,68.8,24.6,22,20.2,19.7
30.07.20 00:00,67,0,70.1,28.4,22.2,20,19.7
31.07.20 00:00,70,0,70.1,33.8,25.3,20.5,20
01.08.20 00:00,76,0.6,70.2,39.2,23.4,20.8,20.3
02.08.20 00:00,93,11.8,70.3,41.3,19.2,20.4,20.1
03.08.20 00:00,99,36.1,49.4,27.2,15.5,18.9,19.1
04.08.20 00:00,96,9.6,1,0.9,13.9,17.3,17.8
05.08.20 00:00,80,0,1.9,1.7,16,17.6,17.8
06.08.20 00:00,80,0,2.6,2.4,18.3,18.1,18.1
07.08.20 00:00,81,0,3.2,3,20.6,18.7,18.5
08.08.20 00:00,77,0,3.9,3.5,22,19.3,19
09.08.20 00:00,75,0,4.5,4,21.9,19.6,19.4
10.08.20 00:00,75,0,5.2,4.4,22.4,19.9,19.6
11.08.20 00:00,74,0,5.9,4.6,23.9,20.3,19.9
12.08.20 00:00,80,0,6.8,4.9,23.4,20.5,20.2
13.08.20 00:00,79,0.1,7.7,5.2,21.6,20.7,20.4
14.08.20 00:00,89,5.4,8.5,5.5,20,20.3,20.2
15.08.20 00:00,84,0.1,9.2,5.7,20,20.2,20.1
16.08.20 00:00,82,9.5,10.2,6,20.6,20.1,20.1
17.08.20 00:00,92,16.3,9.2,6.3,18.7,20.1,20
18.08.20 00:00,88,3.4,7.6,6.5,18.2,19.9,19.9
19.08.20 00:00,87,0.1,7.7,6.4,18.8,19.5,19.7
20.08.20 00:00,81,0.1,9.1,6.4,22.6,20.1,19.8
21.08.20 00:00,77,0,12.2,6.6,23.2,20.3,20.1
22.08.20 00:00,88,8.2,13.1,6.8,19.7,20.3,20.2
